Algorithm name, graph size, truck no, time factor, execution time [ms]
               NearestNeighbor, 10, 4, 0.5, 133
               NearestNeighbor, 10, 4, 1, 131
               NearestNeighbor, 10, 5, 0, 511
               NearestNeighbor, 10, 5, 0.5, 522
               NearestNeighbor, 10, 5, 1, 515
                       Genetic, 10, 2, 0, 4543
                       Genetic, 10, 2, 0.5, 4403
                       Genetic, 10, 2, 1, 4506
                       Genetic, 10, 3, 0, 1731
                       Genetic, 10, 3, 0.5, 1706
                       Genetic, 10, 3, 1, 1767
                       Genetic, 10, 4, 0, 1471
                       Genetic, 10, 4, 0.5, 1470
                       Genetic, 10, 4, 1, 1445
                       Genetic, 10, 5, 0, 1667
                       Genetic, 10, 5, 0.5, 1665
                       Genetic, 10, 5, 1, 1678
                    Bruteforce, 11, 2, 0, 36071
                    Bruteforce, 11, 2, 0.5, 34309
                    Bruteforce, 11, 2, 1, 34640
                    Bruteforce, 11, 3, 0, 38122
                    Bruteforce, 11, 3, 0.5, 38047
                    Bruteforce, 11, 3, 1, 38014
                    Bruteforce, 11, 4, 0, 37835
                    Bruteforce, 11, 4, 0.5, 38180
                    Bruteforce, 11, 4, 1, 38585
                    Bruteforce, 11, 5, 0, 40295
                    Bruteforce, 11, 5, 0.5, 39913
                    Bruteforce, 11, 5, 1, 39782
               NearestNeighbor, 11, 2, 0, 3
               NearestNeighbor, 11, 2, 0.5, 3
               NearestNeighbor, 11, 2, 1, 3
               NearestNeighbor, 11, 3, 0, 66
               NearestNeighbor, 11, 3, 0.5, 66
               NearestNeighbor, 11, 3, 1, 66
               NearestNeighbor, 11, 4, 0, 483
               NearestNeighbor, 11, 4, 0.5, 512
               NearestNeighbor, 11, 4, 1, 478
               NearestNeighbor, 11, 5, 0, 2650
               NearestNeighbor, 11, 5, 0.5, 2648
               NearestNeighbor, 11, 5, 1, 2647
                       Genetic, 11, 2, 0, 11721
                       Genetic, 11, 2, 0.5, 12019
                       Genetic, 11, 2, 1, 11989
                       Genetic, 11, 3, 0, 1988
                       Genetic, 11, 3, 0.5, 1900
                       Genetic, 11, 3, 1, 1867
                       Genetic, 11, 4, 0, 1615
                       Genetic, 11, 4, 0.5, 1712
                       Genetic, 11, 4, 1, 1707
                       Genetic, 11, 5, 0, 1693
                       Genetic, 11, 5, 0.5, 1711
                       Genetic, 11, 5, 1, 1708
