graph size, truck no, time factor, best in currant graph found by bruteforce, generations, population, solution by genetic, execution time
7, 4, 1, 262, 6000, 2, 262, 267
7, 4, 1, 262, 6000, 4, 262, 501
7, 4, 1, 262, 6000, 8, 262, 951
7, 4, 1, 262, 6000, 10, 262, 1205
7, 4, 1, 262, 6000, 12, 262, 1403
7, 4, 1, 262, 6000, 14, 262, 1612
7, 4, 1, 262, 6000, 16, 262, 1830
7, 4, 1, 262, 8000, 2, 262, 266
7, 4, 1, 262, 8000, 4, 262, 502
7, 4, 1, 262, 8000, 8, 262, 952
7, 4, 1, 262, 8000, 10, 262, 1193
7, 4, 1, 262, 8000, 12, 262, 1410
7, 4, 1, 262, 8000, 14, 262, 1615
7, 4, 1, 262, 8000, 16, 262, 1834
7, 4, 1, 262, 10000, 2, 262, 266
7, 4, 1, 262, 10000, 4, 262, 501
7, 4, 1, 262, 10000, 8, 262, 949
7, 4, 1, 262, 10000, 10, 262, 1194
7, 4, 1, 262, 10000, 12, 262, 1437
7, 4, 1, 262, 10000, 14, 262, 1613
7, 4, 1, 262, 10000, 16, 262, 1833
7, 4, 1, 262, 15000, 2, 262, 265
7, 4, 1, 262, 15000, 4, 262, 499
7, 4, 1, 262, 15000, 8, 262, 982
7, 4, 1, 262, 15000, 10, 262, 1201
7, 4, 1, 262, 15000, 12, 262, 1399
7, 4, 1, 262, 15000, 14, 262, 1619
7, 4, 1, 262, 15000, 16, 262, 1829
7, 4, 1, 262, 20000, 2, 262, 266
7, 4, 1, 262, 20000, 4, 262, 499
7, 4, 1, 262, 20000, 8, 262, 947
7, 4, 1, 262, 20000, 10, 262, 1192
7, 4, 1, 262, 20000, 12, 262, 1405
7, 4, 1, 262, 20000, 14, 262, 1616
7, 4, 1, 262, 20000, 16, 262, 1826
8, 2, 1, 166, 2000, 2, 179, 391
8, 2, 1, 166, 2000, 4, 179, 758
8, 2, 1, 166, 2000, 8, 179, 1454
8, 2, 1, 166, 2000, 10, 179, 1837
8, 2, 1, 166, 2000, 12, 179, 2165
8, 2, 1, 166, 2000, 14, 179, 2487
8, 2, 1, 166, 2000, 16, 179, 2794
8, 2, 1, 166, 4000, 2, 179, 388
8, 2, 1, 166, 4000, 4, 179, 745
8, 2, 1, 166, 4000, 8, 179, 1436
8, 2, 1, 166, 4000, 10, 179, 1850
8, 2, 1, 166, 4000, 12, 179, 2153
8, 2, 1, 166, 4000, 14, 179, 2500
8, 2, 1, 166, 4000, 16, 179, 2880
8, 2, 1, 166, 6000, 2, 179, 389
8, 2, 1, 166, 6000, 4, 179, 752
8, 2, 1, 166, 6000, 8, 179, 1454
8, 2, 1, 166, 6000, 10, 179, 1817
8, 2, 1, 166, 6000, 12, 179, 2164
8, 2, 1, 166, 6000, 14, 179, 2504
8, 2, 1, 166, 6000, 16, 179, 2836
8, 2, 1, 166, 8000, 2, 179, 392
8, 2, 1, 166, 8000, 4, 179, 749
8, 2, 1, 166, 8000, 8, 179, 1445
8, 2, 1, 166, 8000, 10, 179, 1829
8, 2, 1, 166, 8000, 12, 179, 2178
8, 2, 1, 166, 8000, 14, 179, 2491
8, 2, 1, 166, 8000, 16, 179, 2837
8, 2, 1, 166, 10000, 2, 179, 387
8, 2, 1, 166, 10000, 4, 179, 745
8, 2, 1, 166, 10000, 8, 179, 1465
8, 2, 1, 166, 10000, 10, 179, 1845
8, 2, 1, 166, 10000, 12, 179, 2131
8, 2, 1, 166, 10000, 14, 179, 2503
8, 2, 1, 166, 10000, 16, 179, 2844
8, 2, 1, 166, 15000, 2, 179, 389
8, 2, 1, 166, 15000, 4, 179, 751
8, 2, 1, 166, 15000, 8, 179, 1448
8, 2, 1, 166, 15000, 10, 179, 1833
8, 2, 1, 166, 15000, 12, 179, 2159
8, 2, 1, 166, 15000, 14, 179, 2512
8, 2, 1, 166, 15000, 16, 179, 2852
8, 2, 1, 166, 20000, 2, 179, 391
8, 2, 1, 166, 20000, 4, 179, 744
8, 2, 1, 166, 20000, 8, 179, 1453
8, 2, 1, 166, 20000, 10, 179, 1819
8, 2, 1, 166, 20000, 12, 179, 2169
8, 2, 1, 166, 20000, 14, 179, 2496
8, 2, 1, 166, 20000, 16, 179, 2852
8, 3, 1, 166, 2000, 2, 166, 257
8, 3, 1, 166, 2000, 4, 166, 485
8, 3, 1, 166, 2000, 8, 166, 930
8, 3, 1, 166, 2000, 10, 166, 1174
8, 3, 1, 166, 2000, 12, 166, 1382
8, 3, 1, 166, 2000, 14, 166, 1590
8, 3, 1, 166, 2000, 16, 166, 1799
8, 3, 1, 166, 4000, 2, 166, 258
8, 3, 1, 166, 4000, 4, 166, 487
8, 3, 1, 166, 4000, 8, 166, 937
8, 3, 1, 166, 4000, 10, 166, 1177
8, 3, 1, 166, 4000, 12, 166, 1387
8, 3, 1, 166, 4000, 14, 166, 1587
8, 3, 1, 166, 4000, 16, 166, 1801
8, 3, 1, 166, 6000, 2, 166, 257
8, 3, 1, 166, 6000, 4, 166, 484
8, 3, 1, 166, 6000, 8, 166, 932
8, 3, 1, 166, 6000, 10, 166, 1175
8, 3, 1, 166, 6000, 12, 166, 1385
8, 3, 1, 166, 6000, 14, 166, 1591
8, 3, 1, 166, 6000, 16, 166, 1800
8, 3, 1, 166, 8000, 2, 166, 258
8, 3, 1, 166, 8000, 4, 166, 484
8, 3, 1, 166, 8000, 8, 166, 937
8, 3, 1, 166, 8000, 10, 166, 1174
8, 3, 1, 166, 8000, 12, 166, 1380
8, 3, 1, 166, 8000, 14, 166, 1589
8, 3, 1, 166, 8000, 16, 166, 1802
8, 3, 1, 166, 10000, 2, 166, 257
8, 3, 1, 166, 10000, 4, 166, 487
8, 3, 1, 166, 10000, 8, 166, 936
8, 3, 1, 166, 10000, 10, 166, 1177
8, 3, 1, 166, 10000, 12, 166, 1382
8, 3, 1, 166, 10000, 14, 166, 1591
8, 3, 1, 166, 10000, 16, 166, 1796
8, 3, 1, 166, 15000, 2, 166, 257
8, 3, 1, 166, 15000, 4, 166, 486
8, 3, 1, 166, 15000, 8, 166, 936
8, 3, 1, 166, 15000, 10, 166, 1173
8, 3, 1, 166, 15000, 12, 166, 1393
8, 3, 1, 166, 15000, 14, 166, 1594
8, 3, 1, 166, 15000, 16, 166, 1799
8, 3, 1, 166, 20000, 2, 166, 258
8, 3, 1, 166, 20000, 4, 166, 488
8, 3, 1, 166, 20000, 8, 166, 938
8, 3, 1, 166, 20000, 10, 166, 1176
8, 3, 1, 166, 20000, 12, 166, 1392
8, 3, 1, 166, 20000, 14, 166, 1587
8, 3, 1, 166, 20000, 16, 166, 1792
8, 4, 1, 166, 2000, 2, 166, 287
8, 4, 1, 166, 2000, 4, 166, 542
8, 4, 1, 166, 2000, 8, 166, 1033
8, 4, 1, 166, 2000, 10, 166, 1298
8, 4, 1, 166, 2000, 12, 166, 1533
8, 4, 1, 166, 2000, 14, 166, 1753
8, 4, 1, 166, 2000, 16, 166, 1986
8, 4, 1, 166, 4000, 2, 166, 289
8, 4, 1, 166, 4000, 4, 166, 542
8, 4, 1, 166, 4000, 8, 166, 1030
8, 4, 1, 166, 4000, 10, 166, 1303
8, 4, 1, 166, 4000, 12, 166, 1524
8, 4, 1, 166, 4000, 14, 166, 1759
8, 4, 1, 166, 4000, 16, 166, 1979
8, 4, 1, 166, 6000, 2, 166, 290
8, 4, 1, 166, 6000, 4, 166, 543
8, 4, 1, 166, 6000, 8, 166, 1032
8, 4, 1, 166, 6000, 10, 166, 1300
8, 4, 1, 166, 6000, 12, 166, 1522
8, 4, 1, 166, 6000, 14, 166, 1752
8, 4, 1, 166, 6000, 16, 166, 1980
8, 4, 1, 166, 8000, 2, 166, 290
8, 4, 1, 166, 8000, 4, 166, 541
8, 4, 1, 166, 8000, 8, 166, 1035
8, 4, 1, 166, 8000, 10, 166, 1299
8, 4, 1, 166, 8000, 12, 166, 1528
8, 4, 1, 166, 8000, 14, 166, 1758
8, 4, 1, 166, 8000, 16, 166, 1983
8, 4, 1, 166, 10000, 2, 166, 291
8, 4, 1, 166, 10000, 4, 166, 543
8, 4, 1, 166, 10000, 8, 166, 1027
8, 4, 1, 166, 10000, 10, 166, 1308
8, 4, 1, 166, 10000, 12, 166, 1524
8, 4, 1, 166, 10000, 14, 166, 1753
8, 4, 1, 166, 10000, 16, 166, 1980
8, 4, 1, 166, 15000, 2, 166, 289
8, 4, 1, 166, 15000, 4, 166, 542
8, 4, 1, 166, 15000, 8, 166, 1047
8, 4, 1, 166, 15000, 10, 166, 1299
8, 4, 1, 166, 15000, 12, 166, 1524
8, 4, 1, 166, 15000, 14, 166, 1756
8, 4, 1, 166, 15000, 16, 166, 1989
8, 4, 1, 166, 20000, 2, 166, 288
8, 4, 1, 166, 20000, 4, 166, 544
8, 4, 1, 166, 20000, 8, 166, 1029
8, 4, 1, 166, 20000, 10, 166, 1305
8, 4, 1, 166, 20000, 12, 166, 1523
8, 4, 1, 166, 20000, 14, 166, 1760
8, 4, 1, 166, 20000, 16, 166, 1985
9, 2, 1, 144, 2000, 2, 152, 670
9, 2, 1, 144, 2000, 4, 152, 1311
9, 2, 1, 144, 2000, 8, 152, 2572
9, 2, 1, 144, 2000, 10, 152, 3251
9, 2, 1, 144, 2000, 12, 152, 3835
9, 2, 1, 144, 2000, 14, 152, 4430
9, 2, 1, 144, 2000, 16, 152, 5038
9, 2, 1, 144, 4000, 2, 152, 670
9, 2, 1, 144, 4000, 4, 152, 1318
9, 2, 1, 144, 4000, 8, 152, 2569
9, 2, 1, 144, 4000, 10, 152, 3280
9, 2, 1, 144, 4000, 12, 152, 3878
9, 2, 1, 144, 4000, 14, 152, 4465
9, 2, 1, 144, 4000, 16, 152, 5039
9, 2, 1, 144, 6000, 2, 152, 661
9, 2, 1, 144, 6000, 4, 152, 1312
9, 2, 1, 144, 6000, 8, 152, 2576
9, 2, 1, 144, 6000, 10, 152, 3250
9, 2, 1, 144, 6000, 12, 152, 3840
9, 2, 1, 144, 6000, 14, 152, 4454
9, 2, 1, 144, 6000, 16, 152, 5049
9, 2, 1, 144, 8000, 2, 152, 665
9, 2, 1, 144, 8000, 4, 152, 1311
9, 2, 1, 144, 8000, 8, 152, 2555
9, 2, 1, 144, 8000, 10, 152, 3206
9, 2, 1, 144, 8000, 12, 152, 3846
9, 2, 1, 144, 8000, 14, 152, 4409
9, 2, 1, 144, 8000, 16, 152, 5027
9, 2, 1, 144, 10000, 2, 152, 663
9, 2, 1, 144, 10000, 4, 152, 1326
9, 2, 1, 144, 10000, 8, 152, 2569
9, 2, 1, 144, 10000, 10, 152, 3243
